Hidden Layer Initial Bias,Hidden Layer Final Bias,Output Layer Initial Bias,Output Layer Final Bias
0.0000,-0.0014,0.0000,-0.0701
0.0000,0.0040,0.0000,-0.1036
0.0000,0.0007,0.0000,-0.0884
0.0000,-0.0003,0.0000,-0.0941
0.0000,0.0026,0.0000,-0.1313
0.0000,-0.0036,0.0000,-0.0791
0.0000,0.0035,0.0000,-0.0132
0.0000,0.0015,0.0000,-0.1130
0.0000,-0.0008,0.0000,-0.1202
0.0000,0.0001,0.0000,-0.1341
0.0000,-0.0040,0.0000,-0.1105
0.0000,0.0032,0.0000,-0.1887
0.0000,-0.0000,0.0000,-0.1424
0.0000,-0.0031,0.0000,-0.1359
0.0000,-0.0010,0.0000,-0.1251
0.0000,0.0025,0.0000,-0.1029
0.0000,0.0047,0.0000,-0.1578
0.0000,0.0000,0.0000,-0.1365
0.0000,0.0059,0.0000,-0.1210
0.0000,0.0045,0.0000,-0.1590
0.0000,0.0037,0.0000,-0.1460
0.0000,-0.0000,0.0000,-0.1430
0.0000,0.0034,0.0000,-0.1303
0.0000,0.0025,0.0000,-0.1628
0.0000,0.0052,0.0000,-0.1905
0.0000,-0.0043,0.0000,-0.1518
0.0000,0.0065,0.0000,-0.1064
0.0000,0.0036,0.0000,-0.1556
0.0000,-0.0066,0.0000,-0.1732
0.0000,-0.0025,0.0000,-0.1491
0.0000,0.0049,0.0000,-0.1376
0.0000,0.0042,0.0000,-0.1129
0.0000,0.0016,0.0000,-0.1328
0.0000,-0.0027,0.0000,-0.1746
0.0000,0.0025,0.0000,-0.1388
0.0000,0.0054,0.0000,-0.1564
0.0000,0.0005,0.0000,-0.1472
0.0000,0.0036,0.0000,-0.1548
0.0000,0.0039,0.0000,-0.1279
0.0000,0.0039,0.0000,-0.1361
0.0000,0.0041,0.0000,-0.1422
0.0000,0.0006,0.0000,-0.1445
0.0000,0.0007,0.0000,-0.1542
0.0000,-0.0011,0.0000,-0.1447
0.0000,0.0042,0.0000,-0.1419
0.0000,-0.0000,0.0000,-0.1596
0.0000,0.0110,0.0000,-0.1503
0.0000,0.0061,0.0000,-0.1297
0.0000,-0.0010,0.0000,-0.1381
0.0000,0.0019,0.0000,-0.1607
0.0000,0.0081,0.0000,-0.1468
0.0000,0.0036,0.0000,-0.1204
0.0000,0.0048,0.0000,-0.1161
0.0000,0.0083,0.0000,-0.1311
0.0000,0.0010,0.0000,-0.1387
0.0000,-0.0029,0.0000,-0.1394
0.0000,-0.0075,0.0000,-0.1451
0.0000,0.0045,0.0000,-0.1666
0.0000,0.0044,0.0000,-0.1884
0.0000,0.0023,0.0000,-0.1540
0.0000,-0.0047,0.0000,-0.1590
0.0000,0.0040,0.0000,-0.1161
0.0000,0.0042,0.0000,-0.1338
0.0000,-0.0009,0.0000,-0.1303
